,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
GPU,0.37961,0.27504,0.31787,0.38791,0.36908,0.36534,0.49133,0.49646,0.50596,0.40068,0.46532,0.35492,0.37027,0.28409,0.45987,0.42755,0.39701,0.28979,0.45789,0.33492,0.3627,0.44809,0.3971
CPU,0.39212,0.38025,0.38308,0.40961,0.3756,0.40038,0.38337,0.37015,0.39442,0.38133,0.37248,0.36755,0.37276,0.37851,0.38004,0.37971,0.37688,0.37717,0.37647,0.38125,0.38057,0.37786,0.4164
