,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
GPU,0.20317,0.32878,0.05135,0.24825,0.19909,0.22556,0.24766,0.12982,0.25466,0.07748,0.12366,0.18646,0.2047,0.13748,0.14408,0.26095,0.03629,0.26684,0.04512,0.25701,0.20026,0.39224,0.34454,0.20636,0.1964,0.37713,0.31255,0.39619,0.31812,0.28467
CPU,0.08449,0.086,0.08473,0.08331,0.09937,0.0832,0.08486,0.08325,0.08236,0.09011,0.08358,0.08427,0.0845,0.08178,0.08462,0.08379,0.08399,0.08409,0.08446,0.08268,0.08352,0.08285,0.08534,0.08338,0.08297,0.08321,0.08242,0.08247,0.08304,0.08313
